"","chapter","location","country","continent","afinn_score","bing_score","nrc_score","journey_stage"
"115",15,"Suez","Egypt","Africa",-1.03061224489796,-0.316455696202532,-0.164179104477612,"Suez/Egypt"
"116",15,"Bombay","India","Asia",-1.03061224489796,-0.316455696202532,-0.164179104477612,"Suez/Egypt"
"117",15,"Calcutta","India","Asia",-1.03061224489796,-0.316455696202532,-0.164179104477612,"Suez/Egypt"
"118",15,"Hong Kong","Hong Kong","Asia",-1.03061224489796,-0.316455696202532,-0.164179104477612,"Suez/Egypt"
"119",16,"Bombay","India","Asia",-0.328125,0.0136986301369863,0.28695652173913,"India"
"120",16,"Calcutta","India","Asia",-0.328125,0.0136986301369863,0.28695652173913,"India"
"121",16,"India","India","Asia",-0.328125,0.0136986301369863,0.28695652173913,"India"
"122",16,"Singapore","Singapore","Asia",-0.328125,0.0136986301369863,0.28695652173913,"India"
"123",16,"Hong Kong","Hong Kong","Asia",-0.328125,0.0136986301369863,0.28695652173913,"India"
"124",16,"China","China","Asia",-0.328125,0.0136986301369863,0.28695652173913,"India"
"125",16,"Yokohama","Japan","Asia",-0.328125,0.0136986301369863,0.28695652173913,"India"
"126",16,"Japan","Japan","Asia",-0.328125,0.0136986301369863,0.28695652173913,"India"
"127",16,"America","United States","North America",-0.328125,0.0136986301369863,0.28695652173913,"India"
"128",17,"Reform Club","United Kingdom","Europe",0.0133333333333333,0.0408163265306122,0.239669421487603,"India"
"129",17,"Suez","Egypt","Africa",0.0133333333333333,0.0408163265306122,0.239669421487603,"India"
"130",17,"Bombay","India","Asia",0.0133333333333333,0.0408163265306122,0.239669421487603,"India"
"131",17,"Singapore","Singapore","Asia",0.0133333333333333,0.0408163265306122,0.239669421487603,"India"
"132",17,"Hong Kong","Hong Kong","Asia",0.0133333333333333,0.0408163265306122,0.239669421487603,"India"
"133",17,"China","China","Asia",0.0133333333333333,0.0408163265306122,0.239669421487603,"India"
"134",17,"Yokohama","Japan","Asia",0.0133333333333333,0.0408163265306122,0.239669421487603,"India"
"135",17,"America","United States","North America",0.0133333333333333,0.0408163265306122,0.239669421487603,"India"
"136",18,"London","United Kingdom","Europe",-0.0285714285714286,-0.216216216216216,0.11864406779661,"India"
"137",18,"Hong Kong","Hong Kong","Asia",-0.0285714285714286,-0.216216216216216,0.11864406779661,"India"
"138",18,"China","China","Asia",-0.0285714285714286,-0.216216216216216,0.11864406779661,"India"
"139",18,"Yokohama","Japan","Asia",-0.0285714285714286,-0.216216216216216,0.11864406779661,"India"
"140",18,"Japan","Japan","Asia",-0.0285714285714286,-0.216216216216216,0.11864406779661,"India"
"141",18,"San Francisco","United States","North America",-0.0285714285714286,-0.216216216216216,0.11864406779661,"India"
"142",19,"London","United Kingdom","Europe",-0.403846153846154,-0.0666666666666667,0.0714285714285714,"India"
"143",19,"Reform Club","United Kingdom","Europe",-0.403846153846154,-0.0666666666666667,0.0714285714285714,"India"
"144",19,"Bombay","India","Asia",-0.403846153846154,-0.0666666666666667,0.0714285714285714,"India"
"145",19,"Calcutta","India","Asia",-0.403846153846154,-0.0666666666666667,0.0714285714285714,"India"
"146",19,"Singapore","Singapore","Asia",-0.403846153846154,-0.0666666666666667,0.0714285714285714,"India"
"147",19,"Hong Kong","Hong Kong","Asia",-0.403846153846154,-0.0666666666666667,0.0714285714285714,"India"
"148",19,"America","United States","North America",-0.403846153846154,-0.0666666666666667,0.0714285714285714,"India"
"149",20,"London","United Kingdom","Europe",0.2375,0.113924050632911,0.186206896551724,"India"
"150",20,"Hong Kong","Hong Kong","Asia",0.2375,0.113924050632911,0.186206896551724,"India"
"151",20,"Yokohama","Japan","Asia",0.2375,0.113924050632911,0.186206896551724,"India"
"152",20,"Japan","Japan","Asia",0.2375,0.113924050632911,0.186206896551724,"India"
"153",20,"San Francisco","United States","North America",0.2375,0.113924050632911,0.186206896551724,"India"
"154",21,"London","United Kingdom","Europe",-0.169491525423729,-0.171428571428571,0.107569721115538,"India"
"155",21,"Hong Kong","Hong Kong","Asia",-0.169491525423729,-0.171428571428571,0.107569721115538,"India"
"156",21,"Yokohama","Japan","Asia",-0.169491525423729,-0.171428571428571,0.107569721115538,"India"
"157",21,"San Francisco","United States","North America",-0.169491525423729,-0.171428571428571,0.107569721115538,"India"
"158",21,"America","United States","North America",-0.169491525423729,-0.171428571428571,0.107569721115538,"India"
"159",21,"United States","United States","North America",-0.169491525423729,-0.171428571428571,0.107569721115538,"India"
"160",22,"London","United Kingdom","Europe",-0.264705882352941,-0.106382978723404,0.168,"India"
"161",22,"Calcutta","India","Asia",-0.264705882352941,-0.106382978723404,0.168,"India"
"162",22,"Hong Kong","Hong Kong","Asia",-0.264705882352941,-0.106382978723404,0.168,"India"
"163",22,"China","China","Asia",-0.264705882352941,-0.106382978723404,0.168,"India"
"164",22,"Yokohama","Japan","Asia",-0.264705882352941,-0.106382978723404,0.168,"India"
"165",22,"Japan","Japan","Asia",-0.264705882352941,-0.106382978723404,0.168,"India"
"166",22,"America","United States","North America",-0.264705882352941,-0.106382978723404,0.168,"India"
"167",23,"Paris","France","Europe",0.26984126984127,0.134328358208955,0.392592592592593,"India"
"168",23,"Japan","Japan","Asia",0.26984126984127,0.134328358208955,0.392592592592593,"India"
"169",23,"San Francisco","United States","North America",0.26984126984127,0.134328358208955,0.392592592592593,"India"
"170",23,"America","United States","North America",0.26984126984127,0.134328358208955,0.392592592592593,"India"
"171",23,"United States","United States","North America",0.26984126984127,0.134328358208955,0.392592592592593,"India"
"172",24,"London","United Kingdom","Europe",0.229885057471264,0.0117647058823529,0.217391304347826,"India"
"173",24,"Aden","Egypt","Africa",0.229885057471264,0.0117647058823529,0.217391304347826,"India"
"174",24,"Bombay","India","Asia",0.229885057471264,0.0117647058823529,0.217391304347826,"India"
"175",24,"Calcutta","India","Asia",0.229885057471264,0.0117647058823529,0.217391304347826,"India"
"176",24,"Singapore","Singapore","Asia",0.229885057471264,0.0117647058823529,0.217391304347826,"India"
"177",24,"Hong Kong","Hong Kong","Asia",0.229885057471264,0.0117647058823529,0.217391304347826,"India"
"178",24,"China","China","Asia",0.229885057471264,0.0117647058823529,0.217391304347826,"India"
"179",24,"Yokohama","Japan","Asia",0.229885057471264,0.0117647058823529,0.217391304347826,"India"
"180",24,"Japan","Japan","Asia",0.229885057471264,0.0117647058823529,0.217391304347826,"India"
"181",24,"San Francisco","United States","North America",0.229885057471264,0.0117647058823529,0.217391304347826,"India"
"182",24,"New York","United States","North America",0.229885057471264,0.0117647058823529,0.217391304347826,"India"
"183",24,"Liverpool","United Kingdom","Europe",0.229885057471264,0.0117647058823529,0.217391304347826,"India"
"184",25,"London","United Kingdom","Europe",0.529411764705882,-0.129411764705882,0.210884353741497,"India"
"185",25,"Paris","France","Europe",0.529411764705882,-0.129411764705882,0.210884353741497,"India"
"186",25,"San Francisco","United States","North America",0.529411764705882,-0.129411764705882,0.210884353741497,"India"
"187",25,"New York","United States","North America",0.529411764705882,-0.129411764705882,0.210884353741497,"India"
"188",25,"America","United States","North America",0.529411764705882,-0.129411764705882,0.210884353741497,"India"
"189",26,"San Francisco","United States","North America",0.1,-0.186440677966102,0.156626506024096,"Asia"
"190",26,"New York","United States","North America",0.1,-0.186440677966102,0.156626506024096,"Asia"
"191",26,"United States","United States","North America",0.1,-0.186440677966102,0.156626506024096,"Asia"
"192",26,"Liverpool","United Kingdom","Europe",0.1,-0.186440677966102,0.156626506024096,"Asia"
"193",27,"America","United States","North America",-0.0307692307692308,-0.102564102564103,0.248407643312102,"Asia"
"194",27,"United States","United States","North America",-0.0307692307692308,-0.102564102564103,0.248407643312102,"Asia"
