"","location","country","continent","latitude","longitude","region_type","chapter_count","avg_afinn_score","avg_bing_score","avg_nrc_score","avg_sentiwordnet_score","avg_senticnet_score","sd_afinn_score","sd_bing_score","sd_nrc_score","sd_sentiwordnet_score","sd_senticnet_score","composite_sentiment","sentiment_variability","sentiment_category"
"23","Japan","Japan","Asia",35.6762,139.6503,"Country",7,0.0360268075359715,0.00850718355162063,0.233171818649373,0.00979055206199512,0.0065329712344708,0.248370949777295,0.129529223144105,0.0903524835484807,0.0919131709387385,0.0304963737035129,0.0588058666066863,0.118132440222426,"Neutral"
"24","Liverpool","United Kingdom","Europe",53.4084,-2.9916,"City",9,-0.191125666619193,-0.079691718506945,0.142590130234339,-0.0544183651005356,-0.0285595574667077,0.309317284768499,0.118787406595576,0.119015886498656,0.105434671665042,0.0413418025716794,-0.0422410354918085,0.13877941041989,"Neutral"
"25","London","United Kingdom","Europe",51.5074,-0.1278,"City",25,-0.0108738024028425,-0.0129814703919122,0.178812358914814,-0.0023590455600116,-0.000708763401710022,0.48643544925643,0.185375836993862,0.135297170814186,0.164281744791446,0.0649027366268558,0.0303778554316676,0.207258587696556,"Neutral"
"26","Manchester","France","Europe",53.4808,-2.2426,"City",1,0.734042553191489,0.395833333333333,0.409395973154362,0.253191489361702,0.0953191489361702,NA,NA,NA,NA,NA,0.377556499595411,NA,"Very Positive"
"27","Mocha","Yemen","Asia",13.3167,43.75,"City",1,0.763636363636364,0.28125,0.290909090909091,0.285454545454545,0.0916363636363636,NA,NA,NA,NA,NA,0.342577272727273,NA,"Very Positive"
"28","Mont Cenis","Italy","Europe",45.0736,6.8883,"City",2,0.00818181818181818,0.0324777370350969,0.199833124739257,0.0135454545454545,-0.00293333333333333,0.181276465722369,0.107418002380356,0.0884989713625216,0.0644109995226291,0.0230045406146023,0.0502209602336587,0.0929217959204956,"Neutral"
"29","New York","United States","North America",40.7128,-74.006,"City",12,-0.130500510326699,-0.126565517186933,0.160122352022646,-0.0485345492302878,-0.0138601448378069,0.369154744374918,0.167044991985444,0.105493250417431,0.119028523967546,0.0539566708681422,-0.0318676739118163,0.162935636322696,"Neutral"
"30","Pall Mall","United Kingdom","Europe",51.5074,-0.1278,"Street",2,-0.194318181818182,-0.0657831325301205,0.117316784869976,-0.0567045454545455,-0.0283333333333333,0.467654712102921,0.24637985677006,0.205194698323047,0.163759502279339,0.058925565098879,-0.0455644816532409,0.228382866914849,"Neutral"
"31","Paris","France","Europe",48.8566,2.3522,"City",8,0.233159381650204,0.0233367032687616,0.238322363765694,0.064793288511485,0.0374562793672315,0.354566850146435,0.179141876963822,0.12602029722517,0.122933140055402,0.048374888543586,0.119413603312675,0.166207410586883,"Positive"
"32","Port Said","Egypt","Africa",31.2653,32.3019,"Port",1,0.113207547169811,0.0666666666666667,0.152941176470588,0.039622641509434,0.0166037735849057,NA,NA,NA,NA,NA,0.0778083610802812,NA,"Neutral"
"33","Red Sea","Egypt","Africa",20,40,"Sea",3,0.193182204502959,0.0553661616161616,0.245385986562457,0.0732239271861913,0.0252692349296123,0.534969174427079,0.231740827895942,0.0800626080399541,0.197584564417135,0.0624866722167822,0.118485502959476,0.221368769399379,"Positive"
"34","Reform Club","United Kingdom","Europe",51.5074,-0.1278,"Institution",13,0.00577199346671788,0.0176399661680414,0.169782694327105,0.00458345802214366,0.000308036650561806,0.517829341592832,0.201969517213762,0.140393353161465,0.181638510155718,0.0659486432799237,0.039617229726914,0.22155587308074,"Neutral"
"35","Rothal","India","Asia",25.4484,81.8463,"City",2,-0.149410774410774,-0.0195536243333992,0.218507261060453,-0.038510101010101,-0.0225925925925926,0.404146047496352,0.181001459296418,0.0620897545114834,0.138028672186162,0.0508069316852556,-0.00231196625728293,0.167214573035134,"Neutral"
"36","San Francisco","United States","North America",37.7749,-122.4194,"City",12,-0.00173802413796593,-0.105174161161738,0.179660495564389,-0.00907068018055372,0.00447893635129028,0.346846977061877,0.19054107829435,0.0981475343284168,0.11541967384428,0.0492833131291512,0.0136313132870842,0.160047715331615,"Neutral"
"37","Singapore","Singapore","Asia",1.3521,103.8198,"City",5,-0.121750552608311,-0.00877305299725608,0.190540144192783,-0.0417539787798408,-0.0137332139699381,0.256937085550884,0.0445589626276377,0.0858161878004811,0.093509200554223,0.0321482604267321,0.000905869167487371,0.102593939391992,"Neutral"
"38","Steamer Point","Yemen","Asia",12.8275,45.0339,"Port",1,0.763636363636364,0.28125,0.290909090909091,0.285454545454545,0.0916363636363636,NA,NA,NA,NA,NA,0.342577272727273,NA,"Very Positive"
"39","Suez","Egypt","Africa",29.9668,32.5498,"City",8,-0.0268090137459967,-0.0178971200061269,0.18061992324862,-0.0062627448323145,-0.00246614339916691,0.509444086850563,0.184862926342835,0.150788020602242,0.178490400691456,0.0645053838245981,0.025436980253003,0.217618163662339,"Neutral"
"40","Turin","Italy","Europe",45.0703,7.6869,"City",1,-0.12,-0.0434782608695652,0.137254901960784,-0.032,-0.0192,NA,NA,NA,NA,NA,-0.0154846717817562,NA,"Neutral"
"41","United States","United States","North America",37.0902,-95.7129,"Country",5,-0.0831570680020453,-0.0572209987499641,0.197255508825082,-0.0283414759325466,-0.00996421633577483,0.324255349415413,0.139588834588119,0.126455398465925,0.110482169485115,0.0431198613611592,0.00371434996095024,0.148780322663146,"Neutral"
"42","Yokohama","Japan","Asia",35.4437,139.638,"City",9,-0.0326457565755405,-0.0276520643461261,0.191567131390772,-0.00946281726299432,-0.00426033603713581,0.206189664946342,0.11682881284863,0.0642320550555072,0.0775464667465163,0.0244976269339822,0.023509231433795,0.0978589253061955,"Neutral"
